,Имя,Комментарий,Дата,Оценка
14,Евдокия Николаевна,"Хочу выразить большую благодарность всему персоналу Ю-Клиник! Живём в России, но лечим зубы только у них. Качество уже проверено временем, поэтому свои зубы доверяю только им. Вся моя семья лечится в Ю-клиник, потому что это профессионально, с заботой и совсем не больно. Они мои фавориты! Больших успехов вам и процветания!",29 января 2020,5
15,Мария,"Всем советую стоматологию Ю-Дент! На личном опыте убедилась, что там работают профессионалы своего дела! Теперь я не стесняюсь своей улыбки, за что очень благодарна Ю-Дент. Спасибо большое!",29 января 2020,5
16,Снежана,"Лечу зубы только в Ю-Клиник! Вы настоящие профессионалы и вам не страшно доверить своё здоровье. Сервис на высшем уровне, очень нравится внимание и забота врачей, всегда посоветуют как лучше и правильно сделать, направят и  дадут дельный совет.! Всегда прихожу к ним с радостью и ухожу в отличном настроении! Успехов вам и процветания! Спасибо большое!",27 января 2020,5
17,Кристина,"Какая же это чудесная клиника! Мне нужно было удалить зуб мудрости и я страшно боялась обращаться в стоматологию, мне посоветовали позвонить в Ю-Клиник! Очень приветливый администратор меня успокоила, ответила на все мои вопросы и записала на консультацию к хирургу! В самой клинике очень комфортно и без напряжения, меня сразу же скоординировали по действиям и усадили в кресло. Каково было моё удивление, не передать словами, на удаление я шла с хорошим настроением и совсем без волнения. Мне без труда удалили зуб и мне хотелось кричать от счастья всем, как же круто в Ю-Клиник! Огромнейшее спасибо вам за вас!",20 января 2020,5
18,Катя,"Уже как пол года я знаком с Ю-клиник! За это время многое изменилось,и я не могла не написать этот отзыв, поскольку благодаря всей команде Ю-Клиник, у меня теперь здоровые зубки просто шикарнейшая улыбка! Ребят, вы просто супер! Не думала, что лечить зубы может быть так приятно и в удовольствие! Вы лучшие!",14 января 2020,5
19,Екатерина,"Так круто зубы я ещё не лечил никогда ! Спасибо Ю-клиник за внимание, заботу и профессионализм! Вы очень крутые! Приду ещё не раз.",14 января 2020,5
20,Александр,"Пишу отзыв о своих зубах Хочу оставить отзыв о Имплантации. Выбрали клинику по отзывам и остались довольны!!! На месте нам сделали снимки, все показали, рассказали, угостили кофе, водичкой, сервис на высшем уровне, сделали операцию очень быстро 1.5 часа заняла, потом все зажило. Приехали делать коронки через 3 месяца, отлично как всегда все оперативно 10 дней и я с зубами довольный и счастливый ! Супруга делала просто коронки, выбрала циркониевые на передние зубу, очень красиво и аккуратно сделали!!! Спасибо Вам!!!",8 января 2020,5
21,Екатерина,"Если и делать имплантацию зубов, то только в Ю-Клиник! Результат превосходит все ожидания, мне так понравилось у них проходить лечение , что я теперь хожу только в Ю-Клиник и всем  также советую. Спасибо вам за трепет, сервис и любовь к пациентам!!! Теперь у меня здоровые зубы и красивая улыбка!!!",6 января 2020,5
22,Виктория,"Пишу отзыв, потому что моя мечта исполнилась и я сейчас самый счастливый человек на планете! А всё благодаря Ю-Клиник!!! На протяжении 27 лет я практически не улыбалась, очень сильно комплексовала по поводу своих зубов. Посоветовали обратиться в Ю-Клиник, и я ни разу ещё не пожалела, что пришла именно к ним. Сервис на высшем уровне, очень комфортно  совсем не страшно, а врачи просто Боги! Мне сделали реставрацию зубов, результат меня шокировал, от зеркала не отлипала неделю так точно. Сейчас довольная и счастливая я горжусь своей улыбкой, жизнь изменилась в лучшую сторону, теперь Ю-Клиник мои любимчики! Вы супер!!!",6 января 2020,5
23,Анастасия,Однозначно лучший центр по оказанию стоматологических услуг в Гомеле. Имея проблемные зубы только здесь мне оказали помощь в лечении и протезировании. Я осталась очень довольна! Ребенок здесь уже проходит ортодонтическое лечение. Здесь всегда рады видеть вас! Всем рекомендую!,6 января 2020,5
24,КАРИНА,"Впечатления несравненно!лучшая стоматология в Гомеле. Всем рекомендую, если вы боитесь. Здесь лучшая детская стоматология и имплантация в Гомеле. Все расскажут, все покажут, объяснят. Мне нравится к ним приходить. Всегда рады нам. Приходите.Не пожалеете",22 декабря 2019,5
25,Галина,"Если ищите клинику, в которой можно сделать виниры в Гомеле - вам в Ю-КЛИНИК! После консультации мне объяснили поэтапно работу, которую предстоит проделать, сориентировали по ценам. Сегодня был последний этап: установка виниров. Я даже представить не могла такой результат! Оочень красивая улыбка украшает меня теперь! Спасибо! Вы воплотили мою мечту в реальность!",17 декабря 2019,5
26,Дмитрий,"Сегодня снова посещал эту клиникуПришёл с хорошим настроением,а ушёл в отличномврач Медведев внимателен,вежлив и очень хорошо знает своё дело,можно сказать-"" врач от Бога""! Я очень доволен и всем советую!",28 ноября 2019,5
27,Анна,"Хочу поблагодарить весь персонал клиники! Каждому! Вы большие молодцы! Внимательные, отзывчивые.Осталась очень довольна. Всем советую!",15 октября 2019,5
28,Любовь,"Выражаю огромную благодарность стоматологическому центру «Ю-КЛИНИК»! Лучший в нашем городе. Вежливый и приветливый персонал, доброжелательная атмосфера, лучшие врачи. Хожу только сюда и всем рекомендую! Спасибо за то, что вы делаете!",17 августа 2019,5
29,Нина,"Здравствуйте. Хочу выразить благодарность Жлобе Т.Н. за ее профессианолизм, тактичность и доброту. Настоящий стоматолог и мастер своего дела!",1 июля 2019,5
30,Иван,"Приятно удивлен первоклассному сервису, вежливому и внимательному персоналу, а также профессионализму Карпачева В.В., который также оказался и отличным знатоком психологии. К слову, у стоматолога я не был лет 20 из-за боязни, но к этому специалисту готов ходить регулярно. Огромное спасибо!",15 июня 2019,5
31,Максим Овдеев,"Отличная клиника, попал на прием к Павлу Александровичу. Остался полностью доволен и работой доктора и в целом. Все прилично, обслуживание хорошее, вежливые все. Точно буду ходить и обращаться сюда еще ни раз.",29 мая 2019,5
32,Александр,"Сервис клиник на высоте, 5+, молодцы организаторы всего этого процесса и персонал! Приятно находится в таком коллективе профессионалов! Отдельное спасибо Поддубной О.В. за лечение, и Медведеву Н.Л. за импланты!",20 мая 2019,5
33,Федор,"Хочу выразить Благодарность Поддубной О.В. за качественной лечение! Таких специалистов в наше время не найти, и умная, и добрая, и терпеливая! Спасибо вам!",17 мая 2019,5
34,Зинаида,"Спасибо Медведеву Николаю Леонидовичу за его Огромный труд! Я уже никогда и не мечтала, что в моем возрасте возможно жевать любую пищу и наслаждаться этим как в молодости. Мне пророчили съемный протез до конца моих дней и больше никаких вариантов. После тщательного осмотра, многих анализов, подробной консультация со многими специалистами, доктор решил, что мои шансы поставить мне импланты очень велики и никаких больших рисков нет. Вот уже прошло больше полугода, импланты стоят как родные, более того, мне давно поставили на них коронки, и я наслаждаюсь жизнью в полной мере. Ни в чем себе не отказывая. По рекомендации доктора пришла к нему на плановый осмотр спустя полгода, все просто замечательно. Могу сказать одно: возраст - не показатель, чтобы себе в чем-то отказывать. Сейчас новое время и есть очень много действительно грамотных и квалифицированных специалистов, просто нужно такого найти. Я нашла, и очень благодарна доктору и клинике в целом! Это дружный, сплоченный коллектив!",6 мая 2019,5
35,Надежда,"Самый лучший доктор Александр Николаевич! Много лет назад, когда он еще не был директором и не открыл свою клинику, ставила у него коронки, они до сих пор стоят как новенькие и никогда не беспокоили. Пришло время заняться и другими своими зубами, так же и у мужа наблюдались проблемы. Не составило большого труда найти своего доктора, так как его многие знают, рекомендуют, и все всегда довольны. Очень приятно удивила клиника, новая, красивая, стильная. За это отдельный респект руководителю! Видно,что за эти годы Александр Николаевич стал еще более востребованным, результат его трудов, это современная клиника, с прекрасным коллективом и персоналом. Рекомендую всем!",19 апреля 2019,5
36,Ольга,"Первый раз была в этой стоматологии и у этого доктора. Осталась полностью довольна и сервисом и в первую очередь работой врача. Цены приемлемые, если вы хотите качественного вежливого общения и обслуживания, то вам однозначно в Ю-клиник. Есть детский уголок, детками занимаются, они не остаются без присмотра. А что еще больше удивило, это можно выпить чай, кофе, водичку, девочки очень приятные, культурные. Советую!",17 апреля 2019,5
37,Вероника,"Лечила зуб в этой клинике первый раз, почитала конечно же отзывы, многие хвалят и довольны работой и врачей и в целом. Была на приеме у Вячеслава 
Владимирович, приятный доктор, ответил на все волнующие меня вопросы, дал дельные рекомендации, полечил зуб. Очень все достойно, приятная атмосфера, вежливый персонал. Точно буду ходить сюда еще не раз.",15 апреля 2019,5
38,Кристина,"Я была во многих клиниках города и зачастую уже с порога понимаешь зря или не зря ты пришла. Атмосфера в ю-клиник меня сразу расположила к себе. Интерьер, обстановка, музыка, даже запах все на уровне. Врачи тоже не разочаровали, конечно самое главное какой доктор специалист, опыт работы и прочее, но так ведь приятно, когда приходить к ухоженному, красивому, в чистой выглаженной одежде, доктору. Всем этим требованиям соответствует каждый сотрудник этой клиники. Это очень похвально, сразу видно, что руководители заботятся о своей имидже и репутации! Так держать, я теперь ваша постоянная клиентка!",3 апреля 2019,5
39,Янина,"Осталась в приятном впечатлении от клиники и доктора, который меня принимал. Цены нормальные.",28 марта 2019,5
40,Анжела,"Прекрасная клиника и хорошо обученным и подобранным коллективом, как врачи, так  и персонал молодцы, все внимательные, обходительные! Спасибо Максиму Арсеньевичу за безболезненное удаление зуба, за нужные и полезные рекомендации.",21 марта 2019,5
41,Наталья,"Спасибо прекрасному доктору Поддубной О.В. Вы самый замечательный стоматолог у которого мне довелось бывать. Чуткая, внимательная, усердная. Столько времени и сил было потрачено на восстановление и лечение моих зубов. Спасибо огромное!",19 марта 2019,5
42,Ксения,"Выражаю благодарность Поддубной О.В. за ее работу, вы самый лучший доктор. Спасибо, что терпите меня, такого капризного пациента! Всем рекомендую клинику и докторов, которые там работают.",14 марта 2019,5
43,Вера,"Добрый день. Хотелось бы выразить огромную благодарность Жлобе Татьяне Николаевне. Доктор от Бога, квалифицированный специалист и просто замечательный человек, который найдет подход к любому человеку и справится с любой проблемой.Мне иногда кажется, что для нее нет непосильных проблем с зубами. Побольше бы таких врачей.",13 марта 2019,5
44,Эльвира,"Мои замечательные доктора Александр Николаевич и Николай Леонидович, чтобы я без вас делала.Так наверное и ходила бы мучилась со своими зубами до самой старости. Буду благодарна вам всю жизнь. Также огромное спасибо Павлу Александровичу, который занимался лечением. Спасибо всем, кто принимал участие в моём преображении.",4 марта 2019,5
45,Викуся,"Хочу сказать огромное спасибо всем, кто работает в этой клинике! У вас самый лучший коллектив специалистов. К кому бы не обратился, всегда остаешься доволен работой. Это огромная заслуга руководителя, ему однозначно респект за подбор кадров. Спасибо Ольге Владимировне и Павлу Александровичу за лечение. Спасибо Александру Николаевичу за идеально поставленные и подобранные коронки. Я в восторге.",26 февраля 2019,5
46,Галина,"Очень хорошая клиника, с прекрасными специалистами! Обратилась с множественными проблема, и коронки нужно было ставить и лечить. Очень удобно, мне рядом с домом, всегда работают все врачи, к любому можно записаться и обратиться. Такого внимания и обходительности я не встречала ни в одном заведении. Спасибо вам большое. Лечу зубы у Ольги Владимировны, а потом буду ставить коронки у Александра Николаевича!",21 февраля 2019,5
47,Артём,"Хочу поблагодарить Максима Владимировича за качественное протезирование! Быстро и безболезненно поставил мне коронки. Рекомендую, хороший специалист!",19 февраля 2019,5
48,Алеся,Огромное спасибо хирургу Медведеву Н.Л !! Настоящий мастер своего дела! Обратилась в Юклиник с невыносимой болью и через 5 минут была спасена) Абсолютно безболезненно и очень аккуратно доктор удалил мне зуб мудрости! Спасибо Вам супердоктор!,16 февраля 2019,5
49,Дмитрий,"Ставил пломбы у Карпачева В.В. Супер мужик, все быстро, качественно, стоят как родные, даже не заметно. Сервис тоже не подкачал, милые девушки на ресепшен и медсестры. Приятно приходить к вам)",15 февраля 2019,5
50,Анна,Огромное спасибо хирургу  Медведеву Н.Л.. Доктор от Бога! Золотые руки!,13 февраля 2019,5
51,Тамара,Спасибо стоматологическому центру Ю-Клиник и вашим замечательным специалистам за мои красивые и ровные зубки!,11 февраля 2019,5
52,Оксана,"Хочу выразить огромную благодарность Медведеву Николаю Леонидовичу. Честно признаюсь, выбрала клинику и хирурга по отзывам в интернете. И хочу вам сказать, не прогадала. У врача просто золотые руки, ничего не почувствовала, ничего не болело после. Советую всем приходить в эту клинику, к этому чудо специалисту.",7 февраля 2019,5
53,Ангелина,"Здравствуйте. Была на приеме, на консультации в этой клинике пару дней назад. Приятно удивила обстановка, интерьер, очень уютно, просторно. часто такое бывает, что придешь только на консультацию, проведешь, кажется, всего несколько минут в клинике и уже больше не хочется туда возвращаться. Здесь же наоборот, врач сразу видно грамотный специалист. Давно не встречала подобного рода врачей, которые объединяют в себе такие качества, как компетентность, рассудительность, внимание, не смотря на свой достаточно молодой возраст, как мне показалось. Я бывала во многих клиниках города, и прошла не одного специалиста со своей проблемой, но в Ю-клиник, мне провели самую полную и подробную консультацию! Однозначно, что в дальнейшем я выберу эту клинику для лечения и протезирования, осталось только выбрать время!",6 февраля 2019,5
54,Юлия,"Хочу выразить огромную благодарность Поддубной Ольге Владимировне. Могу отметить высокий уровень профессионализма доктора. Мне понравилось ее умение ответить на любой вопрос, даже на самый сложный, и умение вести себя очень корректно с пациентами. Консультации она проводит очень объемно, не нужно ничего и нее вытягивать вопросами. Лечила у нее сложный зуб с кистой, в итоге зуб спасли и поставили коронку. Спасибо вам большое!",18 января 2019,5
55,Анна,"Хожу в эту клинику с самого открытия, обратилась по острой боли, так как рядом живу, до этого ходила всегда в совершенно другую стоматологию. С самого первого приема  меня просто покорил врач, Карпачев Вячеслав Владимирович - очень грамотный и внимательный специалист, спас мне зуб, с которым я уже давно мысленно попрощалась и постоянно откладывала прием к хирургу по удалению. Страшно все таки и жалко прощаться со своим родным зубом. Хорошо что не удалила! Однозначно клиника меня переманила к себе, и я ни разу не пожалела. Всегда сервис на самом высоком уровне, а цены я бы сказала ничем не отличается от тех, куда я ходила ранее. Однозначно рекомендую эту клинику, за год ее существования уже не один мой знакомый, по моим рекомендациям сюда обратился. И, хочу сказать, у всех одни и те же впечатления! Только благодарность врачам и всем специалистам, которые там работают.",17 января 2019,5
56,Наталья,"Посещала клинику пару недель назад. Хочу отметить благоприятную атмосферу в зоне ресепшн с внимательными девочками администраторами. Также профессионализм точность и вежливость врача Поддубной Ольги Владимировны хотелось бы отметить. В такую клинику хочется придти еще, где можно быть уверенным, что тебя ждут и сделают так как надо. Спасибо вам. Желаю вам и вашим пациентам здоровья, а клинике процветания.",16 января 2019,5
57,Артем,Спасибо Дворонину Максиму Арсеньевичу за безболезненное удаление зуба мудрости. Вы супер хирург и очень позитивный человек.,14 января 2019,5
58,Арсений,"Хорошая новая клиника. Доктора работают на качество, а не на выманивание денег. Остался очень доволен лечением у Жлоба Татьяны.",12 января 2019,5
59,Марта,"Клиника просто класс! Всё очень понравилось: и врачи и обслуживающий персонал, и сама обстановка в клинике. После первого приема хочется сюда вернуться и продолжить лечение и порекомендовать остальным. Лечила зубы у Жлоба Татьяны Николаевны. Самый лучший доктор на мой взгляд. И внимательная, и чуткая, и самое что главное специалист каких поискать, на любой вопрос ответит. Спасибо ю-клиник за лечение, теперь я ваш клиент на веки!",11 января 2019,5
60,Карина,"Самые добрые и хорошие доктора работают в Ю-Клиник. Могу сказать это с полной уверенностью, так как я побывала почти у всех специалистов, уж очень хотелось побыстрее закончить лечение, а у докторов не всегда было время, приходилось писаться к другому специалисту. И хочу сказать, ни одни доктор меня не разочаровал, все как на подбор)) Если вам нужны квалифицированные врачи, и вы не располагаете большим количеством времени, как я, то обращайтесь в этот центр, вам точно там помогут и быстро и качественно!",10 января 2019,5
61,Екатерина,"Разболелся зуб, всю ночь не давал мне уснуть. Обратилась в эту клинику, так как рядом с домом и не было уже сил терпеть. Слава богу, что я пришла именно сюда. Замечательный доктор Жлоба Татьяна Николаевна. спасла мой зуб и меня от бессонницы. Теперь я знаю куда обращаться!",5 января 2019,5
62,Милана,"Лечила зуб у О.В.Поддубной, очень приятный человек и врач. Сама клиника оставляет только положительные впечатления.",28 декабря 2018,5
63,София,"Очень рада что записалась именно в эту клинику и попала на прием к замечательному ортодонду Абдулу. Процедура, которой я немного побаивалась и долго не могла на нее решить, оказалась совсем безболезненной, никакого дискомфорта, ну если только немного в первые дни. Спасибо Абдул, и спасибо Ю-клиник. Теперь мы с вами будем часто видеться.))",26 декабря 2018,5
64,Алёна,"Пишу отзыв, так как очень благодарно ортодонту Юнису Абдулу. Вчера мы наконец-то сняли брекеты нашей дочери. Была очень большая, кропотливая работа, мы носили их очень долго, даже дольше чем предполагалось изначально. Но видя сейчас конечный результат, я понимаю, насколько профессионально подошел доктор к нашей ситуации, насколько все точно и правильно было рассчитано. Я рада что есть такие специалисты, и что мы попали именно к нему. Спасибо огромное.",24 декабря 2018,5
65,Александра Мартынова,"Хочу поблагодарить Александра Николаевича за его работу. Весь процесс протезирования пролетел как один миг, я даже и не заметила как стала обладательницей красивой улыбки. Спасибо вам огромное.",21 декабря 2018,5
66,Людмила Севастьянова,"Добрый день. Хочу поблагодарить коллектив Ю-Клиник за их работы, за внимание, за чуткость и понимание. Очень понравилось с вами работать и сотрудничать. Ради такого отношения к свои пациентам, я готова ездить из другой страны, чтобы лечить зубы только здесь. Советую замечательного ортопеда Александра Николаевича. Лечащего врача Ольгу Владимировну и Вячеслава Владимировича, мне довелось побывать наверное у всех специалистов этой клиники, и не один не разочаровал. Все соответствуют общей положительной картине, которая складывается при посещении этой клиники. Ждите меня через пару месяцев к вам на имплантацию, я знаю что у вас еще работает замечательный хирург Медведев, я побывала уже предварительно у него на консультации, и теперь готова к большой и сложной операции, но страха никакого при этом не присутствует, я доверяю себя в руки профессионалов! Желаю команде Ю-клиник хорошего Нового года и Рождества. Встретимся с Вами в Новом Году!",20 декабря 2018,5
67,Екатерина,"Спасибо этой клинике за мою красивую улыбку. Вчера вечером вышла с самым замечательным настроением от врача Александра Николаевича. Сегодня утром не могу нарадоваться, просто великолепно. Наверное я до сих пор не могу поверить, что из моих кривеньких зубов можно было что-то сделать, без носки брекетов 2 года, как прогнозировал врач. Обратилась в эту клинику начитавшись отзывов, не буду скрывать. Все хвалили Александра Николаевича и его работы. На кануне нового года, я решила попытать счастье, а вось и мне повезет и уже к новом году я тоже стану обладательницей прекрасной улыбки. Придя в клинику я сразу поняла, что люди не зря пишут столько положительных отзывов и о самой клинике, и о сотрудниках. Очень душевная, спокойная обстановка, то что нужно для стоматологии с учетом, что многие люди бояться ходить лечить зубы. 
Александр Николаевич в самые кратчайшие сроки поставил мне виниры, такого подхода наверное ждет каждый пациент, который приходит к врачу.",19 декабря 2018,5
68,Лидия,"Добрый День!
Хочу поделиться своими впечатлениями и выразить свою искреннюю благодарность за качественное и профессиональное обслуживание. 
Здесь работает самые приятный и вежливый персонал. Сама клиника очень красивая и уютная, есть детская зона, современное оборудование, все для нас , пациентов. Я очень довольна, что у нас в городе открылась клиника такого уровня и качества.
Отдельно хочу поблагодарить врача-ортопеда Юрковца А.Н. Самый внимательный и аккуратный врач с которым мне приходилось работать, сразу видно, что любит свое дело и посвящает этому все свое время.
Хочу пожелать этой клинике удачи, благополучия, процветания, и позитивных пациентов.",18 декабря 2018,5
69,Вероника,"Хорошая клиника с приятной обстановкой, без очередей, кричащих детей, шума и гама! Цены приемлемые, такие же как и везде. Я попала еще под акции и скидки, не знаю сейчас они еще есть или нет. Могу смело рекомендовать Карпачева Вячеслава Владимировича.",12 декабря 2018,5
70,Елена Василевская,"Хорошая, новая клиника, с приемлемыми ценами. Лечила зуб только один раз, но если понадобится обращусь еще раз, это точно.",8 декабря 2018,5
71,Ксения,"Николай Леонидович, вы просто самый лучший хирург на свете! Для того чтобы поставить брекеты, мне нужно было удалить все 4 зуба мудрости. Для меня это было просто шоком, я готова была отказать от ровных зубов и брекетов только от мысли как это страшно и больно удалять зубы, да еще в таком количестве. Пришла на консультацию с ужасом в глазах, вышла я уже сразу без двух зубов мудрости. Я никогда не думала, что можно настолько довериться доктору и поверить его словам и убеждениям, чтобы так быстро согласиться. Я ничего не почувствовала, никакой боли, дискомфорта. Вот что значит мастер своего дела. Спасибо и еще раз спасибо. В Пятницу у меня еще два удаления, теперь я иду в полной уверенностью.",6 декабря 2018,5
72,Светлана,"Хочу выразить благодарность Медведеву Николаю Леонидовичу за качественное и самое главное безболезненное удаление всех четырех зубов мудрости. Очень страшно было идти на прием, столько слышала историй об осложнениях всякого рода, что просто в ужас бросала от одной мысли. Если вы такой же трусливый человек как я, то вам к Медведеву. Такого позитивного человека я еще не встречала, всегда думала, что хирурги угрюмые и серьезные люди. Спасибо еще раз и хирургу и самой клинике за прием и всегда вежливое и приветливое обращение. Желаю вам всех благ и процветания.",4 декабря 2018,5
73,Оля,Благодарю Жлоба Татьяну Николаевну за ее работу. Замечательный доктор. Только к вам на лечение!,29 ноября 2018,5
74,Светлана,"Удаляла очень сложный зуб у Медведева, очень боялась, так как в многих клиниках до этого консультировалась и наслышалась всяких ужасов о последствиях и осложнениях. Врачи мягко говоря всякими способами от меня отказывались, видно не хотели брать на себя ответственность. Только в Ю-клиник доктор взялся за мой случай, без лишних разговор. Даже можно сказать он единственный кто меня действительно приободрил и настроил на положительных исход. Как доктор сказал, так все и прошло, операция длилась больше часа, но я никакого страха или опасения в процессе не было. Реабилитация тоже прошла хорошо и без осложнений, главное соблюдать все предписания врача. Если кто-то столкнулся с такой же проблемой как у меня, то смело можете записываться к Медведеву на прием. У доктора золотые руки.",28 ноября 2018,5
75,Анна,"Хочу поблагодарить доктора Поддубную О.В., которая спасла меня от адской боли и девушек администраторов, которые уговорили меня придти хотя бы на консультацию, так как я очень боялась лечить и очень переживала. Теперь только к вам, после приема у этого доктора я осталась не то что довольна, я осталась в восторге. Не бойтесь лечить зубы и занимайтесь этим вовремя, а не как я!",27 ноября 2018,5
76,Мороз Ксения,"Лечила зубы у Жлоба Татьяны Николаевны, лечением и квалификацией врача вполне довольна. Как будут стоять пломбы пока рано загадывать. Но в целом мне очень понравилась сама клиника, работа остальных сотрудников. Очень все внимательные и приветливые, это не может не радовать, особенно если сравнивать с государственными клиника. Да и в Гомеле много частных клиник, где не особо качественное обслуживание. А Здесь мне очень понравилось.",26 ноября 2018,5
77,Волкова Оксана,"Очень давно лечим зубы всей семьёй в этой клинике, сначала ходили в Ю-дент, теперь посещаем новую Ю-клиник. Всегда довольны результатом, по любому вопросу всегда можно обратиться и к докторам и к персоналу, никогда не отказывали. Советуем!",22 ноября 2018,5
78,Ефимова Дарья,"Хочу поделится своими впечатлениями о приеме в этой клинике, может кому будет полезно. Я так же попала сюда на прием почитав отзывы, записывалась к конкретному доктору, так как ее все хвалят. Что могу сказать, не зря люди хвалят и восхищаются Ольгой Владимировной Поддубной. Замечательный внимательный врач, молодая, приятная в общении. Мне очень понравилась. Да и в целом в клинике приятно, музыка, обстановка. Я довольна.",20 ноября 2018,5
79,Варвара,"Спасибо Юнису Абдулу за брекеты! Очень давно не могла решиться на эту процедуру, но после консультации все мои сомнения были развеяны. Скоро я буду обладательницей красивой улыбки.",19 ноября 2018,5
80,Галина,"Спасибо замечательному доктору Александру Николаевичу за его работу. Очень довольна как он мне поставил коронки, ничем не отличаются от обычного зуба.",16 ноября 2018,5
