,Имя,Комментарий,Дата,Оценка
21,Полина,"Хочу поблагодарить Седлярову Елену Николаевну за качественное лечение, внимательность и заботу!",23 мая 2023,5
22,Ирина,"Выражаю благодарность Карпачёву Вячеславу Владимировичу за профессионализм, бережное отношение к пациенту, высокое качество работы.",5 мая 2023,5
23,Алина,"Хочу выразить благодарность Дворонину Максиму Арсеньевичу, врач от Бога, внимательное и профессиональное отношение. А также работникам клиники.",11 апреля 2023,5
24,Роман,"Хочу выразить огромную благодарность Алейниковой Светлане Ивановне, за качественное лечение, внимательный подход к пациенту. Она - настоящий профессионал своего дела: работает аккуратно, осторожно и очень внимательно. После выполненных процедур понял, что попала в руки профессионала своего дела и компетентного врача. Теперь буду доверять свои зубы только ей!",5 апреля 2023,5
25,Алина,"Хочу выразить большую благодарность Седляровой Елене Николаевне, за внимательное и чуткое отношение и желание помочь в любой, даже самой сложной ситуации.
А также сказать спасибо всему коллективу Ю-КЛИНИК, за их добрые сердца, приветливые улыбки, и самое главное – профессионализм!",23 марта 2023,5
26,Юля,"Все понравилось. Персонал, сервис, качество услуг",21 марта 2023,5
27,Сакова Светлана Ми,"Хочу выразить огромную благодарность Седляровой Елене Николаевне, за качественное лечение, внимательный подход к пациенту. Она - настоящий профессионал своего дела: работает аккуратно, осторожно и очень внимательно. После выполненных процедур поняла, что попала в руки профессионала своего дела и компетентного врача. Теперь буду доверять свои зубы только ей! Благодарю Вас за Ваши ""Золотые руки"". 
Желаю Вам всего хорошего!",21 марта 2023,5
28,Светлана Михайловн,Хороший специалист! Человек своего дела!,21 марта 2023,5
29,Павел,Великолепные и понятные объяснения! Не боишься идти и иногда даже засыпаешь при лечении!,20 марта 2023,5
30,Алла,"Сегодня делала реставрацию у Елены Николаевны. Осталась очень довольна. Я нашла своего стоматолога, всем рекомендую",18 марта 2023,5
31,МАРИЯ,"Все понравилось, замечательный специалист и человек",18 марта 2023,5
32,Михаил,Спасибо большое. Вы замечательный специалист!,18 марта 2023,5
33,Констартин,"К соммтологу Седляровой Е.Н.записался по рекомендации,спасибо доктору за Вашу работу и стоматология очень понравилась,рекомендую.",17 марта 2023,5
34,Светлана,"Хочу поблагодарить и отметить! В центре работают профессионалы своего дела! Обратилась на прием с острой болью, провели осмотр и сделали все возможное. Получила помощь качественно и главное оперативно. На приеме была у Седляровой Е.Н. Всем рекомендую!",17 марта 2023,5
35,Дмитрий Тышкевич,Спасибо огромное Ю-клиник за то что собрали такую профессиональную команду. Очень доволен что обратился в данную клинику. Отдельную благодарность выражаю Кулагиной О.В и Немилостивой М.А -настоящие профессионалы своего дела!,17 марта 2023,5
36,Дмитрий Тышкевич,"Спасибо огромное Ольге Викторовне Кулагиной за высочайший профессионализм, внимательность, и умение подойти с улыбкой к кажому пациенту. До этого очень боялся обращаться к стоматологам, а в итоге обратившись к Ольге Викторовне привел рот в порядок. Очень доволен что обратился к данно у специалисту. Ольга Викторовна ответсвенно и внимательно подходит  к своей  работе. Мой сын тоже ходил лечить зубы исключительно у Ольги Викторовны и каждый раз остаётся доволен. Она большой молодец. Спасибо огромное. Также  хочу поблагодарить весь персонал Ю-клиник и считаю данную стоматологическую клинику лучшей клиникой в г.Гомеле (это не только мое мнение но и моих знакомых и родных) Одназначно рекомендую.",17 марта 2023,5
37,Дмитрий Т.,"Спасибо огромное врачу -хирургу Немилостивой Марии Андреевне за высочайший профессионализм, внимательность и умение подойти к сложной работе настолько профессионально что я вышел с улыбкой из кабинета хотя удалял за раз 3 зуба (все три сложные, один из которых 8 ка). Очень рекомендую данного доктора. Спасибо огромное. Обязательно будем обращаться ещё и рекомендовать родным и близким.",17 марта 2023,5
38,Олеся Настюшкина,"Татьяна Витальевна-лучший доктор у которого я лечили зубы. Внимательная, аккуратная, заботливая, сразу к себе распологает, а самое важное - качественно выполняет свою работу. После неё была в другой клинике у ортодонта-терапевта, он сказал, что оооочень достойная работа..Теперь зубы доверяю ТОЛЬКО Татьяне Витальевне. Спасибо Клинике за такого Чудесного Человека))))) Однозначно рекомендую",15 марта 2023,5
39,Анна,"Пришла к вам в стоматологию по рекомендации подруги и осталась очень довольна. Благодарю врача за очень аккуратно и грамотно выполненную работу. Без боли с огромной заботой и волнением за меня - я это очень ценю. После моего визита к вам я рассказала о вас мужу который раньше панически боялся стоматологов, а теперь он готов записаться к вам на прием. Спасибо вам за лечение. Рекомендую вас всем!",14 марта 2023,5
40,Александра,Спасибо замечательному стоматологу терапевту Седляровой Е. Н. за здоровую улыбку! Рекомендую,13 марта 2023,5
41,Мария,"На приеме у Елены Николаевны была впервые, по рекомендации знакомой.  Всё оч понравилось. Спасибо за вашу работу!",13 марта 2023,5
42,Екатерина,"Спасибо большое доктору Кулагиной О. очень хороший опытный специалист, оч большую работу проделали  в плане лечения, вежливая, компетентная девушка, приду ещё, , сама клиника тоже понравилась очень уютно,вежливый персонал, только положительные эмоции остались, приводила и своих родственников сюда, всем очень понравилось",13 марта 2023,5
43,Игорь Черный,Спасибо Ольги Кулагиной за лечение зубов. Прекрасное отношение Только к ней и хожу теперь на лечение.,13 марта 2023,5
44,Юлия Черная,Ольга Кулагина прекрасный и добрый доктор. Добросовестно подходит к работе. Лечу только у нее.,13 марта 2023,5
45,Юлия,"Безумна благодарна Седляровой Елене Николаевне за профессионализм, чуткость, доброту. Успокоит, подбодрит,все проговаривает, на все вопросы ответит. Комфортно и спокойно. Всем рекомендую.",13 марта 2023,5
46,Аннс,"Хочу выразить благодарность хирургу Москалевой Елене Леонидовне за прекрасную работу по удалению сложного зуба, я очень переживала, когда шла на удаление, был печальный опыт, но врач сделала все очень профессионально и безболезненно и без осложнений, что очень порадовало, никаких отеков, синяков, кровоточивости. Отличная работа",12 марта 2023,5
47,Надежда,"Это самый внимательный врач! Несказанно рада, что нашла своего стоматолога! Елена Николаевна оказала лечение безболезненно и очень аккуратно. Она лучший терапевт!",3 марта 2023,5
48,Владислав,Выражаю огромную благодарность стоматологу-терапевту Седляровой Е.Н. Вылечил 4 зуба без анестезии и боли не было совсем. Очень аккуратный специалист. Рекомендую обращаться именно к этому врачу.,3 марта 2023,5
49,Николай,Хочу выразить свою благодарность Седляровой Е. Н. Превосходный специалист! Очень внимательный и доброжелательный. А главное профессионал своего дела!,3 марта 2023,5
50,Елена,"21.02.23 обратилась в Ю-клиник к Седляровой Елене Николаевне с проблемой пришеечного кариеса на верхнем боковом резце. Болевых ощущений не имела, только визуально-эстетический недостаток. В результате работы стоматолога и установки пломбы у меня третий день болит зуб, пью обезболивающее, внешне пломба испортила прежний вид зуба, пломба видна по всей длине зуба, хотя кариес занимал 1мм, зуб стал неровный. Под внешне привлекательной обёрткой клиники (прекрасный сайт, чудесный ремонт, дизайн клиники, милые девушки на рецепшн) скрывается низкий уровень его специалистов. Если вы не в состоянии справиться с такой проблемой как пришеечный кариес, куда уж там до более серьезных проблем. Очень жалею, что обратилась к вам. Никому не рекомендую!",23 февраля 2023,1
51,Анатолий,"Замечательная стоматология. Все очень понравилось.  Хороший сервис, очень дружелюбные  и приветливые девушки на ресепшене. Все специалисты настоящие профессионалы своего дела! Спасибо за ваш труд!",8 февраля 2023,5
52,Анастасия,"Хорошее обслуживание , Татьяна Витальевна внимательный и хороший врач, проходить лечение совсем не страшно",5 февраля 2023,5
53,Вероника,"Наталья Алексеевна очень внимательная, приятная доктор) у нее в кресле совсем не страшно)) рекомендую",1 февраля 2023,5
54,Елена,"Хочу выразить благодарность доктору,Алейниковой Светлане Ивановне. Очень внимательная, высокий профессионал. Хочется чтобы все врачи были такими!",26 января 2023,5
55,Мария,Очень внимательный доктор . Благодарю за работу,26 января 2023,5
56,Екатерина,"Благодарю,доктора Алейникову Светлану Ивановну . За высокий профессионализм и чуткое отношение к пациентам .",26 января 2023,5
57,Михаил,"Стоматология мне очень понравилась.  Приятная атмосфера, на ресепшене очень  приветливые девушки работают, замечательные специалисты, работают быстро  и качественно!",20 января 2023,5
58,Леонора,"Выражаю огромную благодарность коллективу клиники. Отдельное спасибо стоматологу –ортопеду Москалевой Елене Леонидовне и зубным техникам Флюрику Игорю Анатольевичу и Сергею Ивановичу. За создание красивой улыбки. Поздравляю весь коллектив Ю- КЛИНИК с наступающим Новым годом, желаю успехов, здоровья, благодарных пациентов. Так же хочу отметить работу администраторов Алеся и Надежды, девочки всегда вежливы, улыбчивы, отвечают на все вопросы. Ю – КЛИНИК, ВЫ супер!",29 декабря 2022,5
59,Андрей,"Хочу выразить огромную благодарность врачам Москалевой Елене Леонидовне и Шараю Павлу Александрович за проделанную ими работу.

Они показали себя профессионалами. Лечение проходило в удовольствие, хотя раньше боялся стоматологов.

Хотелось, чтобы побольше было таких врачей.",28 декабря 2022,5
60,Светлана,"Кулагина О. В. - только положительные эмоции после посещения этого врача. От консультации получила ответы на все мои вопросы и  проблемы на 100%. Сейчас понимаю последовательность моих действий в дальнейшем. Спасибо Ю Клиник, за таких специалистов",27 декабря 2022,5
61,Ирина,"Хочу выразить благодарность всему коллективу вашей клиники, в особенности моему лечащему врачу Москалевой Елене Леонидовне: вежливость, внимание, аккуратность во всем. Я очень довольна вашей заботой о своих клиентах.

Спасибо большое за ваш труд.",26 декабря 2022,5
62,Татьяна,"Хочу выразить благодарность всему коллективу клиники. Ставила четыре импланта. Все сделали безболезненно, качественно. Вежливые и доброжелательные врачи. Большое спасибо Дворонину Максиму Арсеньевичу и, особенно, Москалевой Елене Леонидовне за чуткость, доброту и профессионализм.

Буду всем знакомым рекомендовать вашу клинику.

Спасибо за качественную работу.",23 декабря 2022,5
63,Оксана,"Очень благодарна чуткому медперсоналу их профессионализму. Особо хочу отметить Москалеву Елену Леонидовну всегда приятно приходить к ней на прием: чуткая, отзывчивая. Раньше я очень боялась стоматологов, но попав в вашу клинику, страх исчез. Благодарна Вам за вашу работу, дарить людям уверенность в себе.

Вы лучшие, наверное, из лучших.

Буду в дальнейшем обращаться к вам и рекомендовать своим знакомым и близким.

Спасибо Вам!",22 декабря 2022,5
64,Людмила,"Осталась очень довольна посещением клиники Ю-ДЕНТ. Долго выбирала куда пойти, но почитав рекомендации и не пожалела что выбрали Вас. Сразу при входе чувствуешь комфорт и внимательное отношение ко всем посетителям. Я была сама и водила на прием свою маму. Девочки на ресепшне молодцы!

Врачи компетентны.

Ортопед Москалева Е. Л., хирург Немилостивая М.А, терапевт Кулагина О. В.

Рекомендую!

Особая благодарность руководству клиники за организацию работы.

Спасибо!",22 декабря 2022,5
65,Алеся,"Выражаю огромную благодарность стоматологу - терапевту Седляровой Елене Николаевне. Чуткий заботливый специалист. На приеме у этого доктора комфортно. Никакой боли, лечит быстро и качественно. Все очень понятно и подробно объясняет. Проговаривает каждое свое действие, чтобы пациент не волновался в кресле и понимал, какая процедура ему оказывается. Елена Николаевна – врач с заботливыми руками. Огромное ей спасибо. Спасибо Вашей клинике за такого классного специалиста! Ю – КЛИНИК – ВЫ СУПЕР!",21 декабря 2022,5
66,Алена Борохова,"Выражаю благодарность за отличную работу Пановой Елене Владимировне  мед. сестре. Внимательная,  а самое главное, супер профессионал своего дела! Спасибо за вашу работу!",19 декабря 2022,5
67,Алена Борохова,"Сейчас очень трудно найти хорошего доктора, но мне повезло! Слова благодарности адресую Немилостивой Марии Адреевне  прежде всего за ее внимание, чуткость, высокий уровень знаний в своей области и профессионализм. Это мастер своего дела! Мария Андреевна доброжелательна, умеет успокоить и настроить на лечение. Процедуру лечения проводит безболезненно, постоянно интересуется ощущениями. Всё делает очень качественно!!! 
 Желаю здоровья, сил и терпения, Вам Мария Андреевна!",19 декабря 2022,5
68,Екатерина,"Посещала стоматологию впервые, спасибо квалифицированным специалистам. Осталась очень довольна, запишусь еще!",9 декабря 2022,5
69,Арина,"Очень долго мечтала отбелить зубы, поэтому выбирала клинику и врача тщательно. Целью было получить шикарный результат и сделать отбеливание безболезненно! Была на разных консультациях у других специалистов, потом попала на консультацию в юклиник к молодому доктору Павлу Александровичу Шарай. Еще на консультации поняла - вот он, мой доктор, которому я доверю свои зубы! Я ни на минуту не пожалела, в юклиник делают отбеливание современными технологиями, благодаря чему боли нет вообще. Доктор отлично справился со своей работой, золотые руки, дал много рекомендаций и по уходу за полостью рта после отбеливания и по средствам гигиены для полости рта, чтобы зубки мои оставались здоровыми и белыми как можно дольше!",24 ноября 2022,5
70,Вячеслав,"Отличный стоматологический центр! Квалифицированные специалисты, внимательное отношение к пациенту. Отдельная благодарность Александру Николаевичу за мою голливудскую улыбку. Теперь всегда улыбаюсь! Все на высшем уровне!",23 ноября 2022,5
71,Наталья,"Хочу сказать огромнейшее спасибо Шараю Павлу А. за качественное лечение. Зуб вылечен безукоризненно. И без боли! Приятный доктор, располагает к себе и прием проходит максимально комфортно,1.5 часа пролетели в кресле как одна минута.",23 ноября 2022,5
72,Ирина,"Огромная благодарность хирургу Дворонину Маскиму. Всегда боялась удалять зубы, был страх с детства еще. Этот специалист просто супер, только к нему теперь! Супер-доктор и с юмором и специалист отличный!",22 ноября 2022,5
73,Маргарита,"Благодарю потрясающего хирурга за безболезненное удаление зуба мудрости! Очень аккуратно, внимательно, кропотливо удаляла сложный нижний зуб.",22 ноября 2022,5
74,Клара,Выражаю огромную благодарность Москалевой Елене Леонидовне за профессионализм и чуткое обращение при решении возникшей проблемы.,19 ноября 2022,5
75,Светлана,"Выражаю огромную благодарность Александру Николаевичу, профессионалу своего дела!  Благодаря ему хочется улыбаться. Спасибо Вам, Александр Николаевич за терпение и труд.",19 ноября 2022,5
76,Людмила,Огромное спасибо замечательному доктору Москалевой Елене Леонидовне и всему коллективу ю-клиник. Ваш профессионализм и внимательное отношение к посетителям вызывает чувство глубокого уважения и восхищения. Обращаемся в ю-клиник всей семьей с самого основания клиники. Спасибо Вам огромное!,19 ноября 2022,5
77,Константин,"Хочу сказать  спасибо Москалевой Елене Леонидовне!!! Очень внимательная ,доброжелательная, выполняет качественно свою работу, большая умничка и врач с большой буквы, побольше бы таких врачей. Елена Леонидовна, ещё раз спасибо!",17 ноября 2022,5
78,Константин,"У Александра Николаевича золотые руки. Идеально провел протезирование на основе имплантов, хотя случай был непростой. Не жалеет время, чтобы все спокойно объяснить и помочь выбрать оптимальный вариант. Хочу привести к нему родителей. Такому профессионалу не страшно доверить здоровье самых близких людей!",17 ноября 2022,5
79,Наталья,Хочу выразить огромную благодарность Карпачеву В.В. Обращался уже не первый раз. Лечение делается с максимальным комфортом для пациента. Даже укол делается безболезненно. С таким стоматологом лечить зубы совсем не страшно.,15 ноября 2022,5
80,Филимонов Василий,"Врач очень хороший, отношение к пациенту хорошее, отличное качество обследования, отличное эффективность лечения советую всем, лечите зубы только у этого врача.",15 ноября 2022,5
81,Юрий,"Был на консультации у Тен К. С. Грамотный специалист, рассказала какую необходимо провести подготовку перед протезированием. Остался под приятным впечатлением.",15 ноября 2022,5
82,Анастасия,"Я советую доктора Шарая Павла Александровича! Муж лечился у него, потом постепенно пришла и я к этому доктору, настолько аккуратно залечены зубы, просто ювелирная работа! Планируем еще на отбеливание к нему записаться, слышала он очень хорошо делает!",11 ноября 2022,5
83,Николай,"Ставил коронки. Ее мне посоветовали знакомые!
Очень доволен, результат отличный! Цены разумные. Специалист высшего уровня, теперь только к Вам!",10 ноября 2022,5
84,Лилия,"Благодарю Марию Андреевну за проведенную имплантацию!
В сентябре ставила у нее импланты. Операция прошла на ура! Легкая рука у девушки, очень опытный специалист! В декабре завершаю протезирование. Лучший центр!",10 ноября 2022,5
85,Людмила,"Благодарю специалиста Кулагину Ольгу за качественное и безболезненное лечение. Хочу отметить, что специалист очень внимателен, подробно и доступно объясняет план лечения и проделанную работу. Не пожалела, что получила услугу у этого специалиста.",10 ноября 2022,5
86,Юлия,"Хочу выразить огромную благодарность, стоматологу- ортопеду Юрковцу Александру Николаевичу, за отличную профессиональную, аккуратную работу. Внимательное отношение к пациенту!
Рекомендую отличный специалист!",10 ноября 2022,5
